"title","authors","abstract"
"USING META-CASES FOR CAPSTONE LEARNING","Stephen L. James; Douglas W. Ruth","The purpose of capstone courses and projects in engineering is to provide a learning experience that effectively and reliably solidifies earlier acquired understandings. It provides a culminating exercise that lies just beyond a student’s existing ability so that learning is furthered while motivation is preserved. Historically, individual engineering projects, practicums, and internships have been heavily used to provide that culminating experience; however, with often disappointing results. This has been particularly the case in attempting to cap off programs in systems engineering where the learning ideal would be to have a student experience a real-world complex multi-disciplinary engineering and program environment. Given the limitation, this paper proposes using a term-long, class-based, repeatable meta-case as the capstone learning venue, particularly in support of systems engineering programs where securing meaningful experiential learning is difficult. Case teaching is a classic approach in law, medicine and business faculties where the need to develop higher cognitive abilities—analyzing, synthesizing and judging—inside high ambiguity and across multi-disciplines is paramount. A meta-case, as opposed to other case types, is characterized by the use of a very complex, multi-factor (engineering) real-world challenge with a long, multi-stage solution scenario. In proposing the use of a capstone meta-case, the paper presents its use in an aerospace systems engineering environment where development timelines are very long, and where the engineering requirements and solutions are many and highly interdependent. It specifically discusses the course design structure and considerations associated with a meta-case based on the development of the Airbus A400 military transport aircraft. The paper is based on a year-long study into the use of the case method for teaching aerospace systems engineering."
"Crafting a Sustainable Engineering Vision Through a Consultation Process","Nathalie Frigon; Judith Cantin; Isabelle Villemure","A wide-ranging consultation process was conducted by Polytechnique Montréal between 2022 and 2023 explores the impact of environmental, technological and societal transformation on the work of engineers and competencies needed, as well as on engineering education. This study highlights a mobilization approach aimed at co-creating a competency profile of the engineer of tomorrow. The methodology includes interviews, internal and external surveys, and a forum bringing together over 250 stakeholders in May 2023. The results provide a better understanding of the global, national and local issues engineers are facing, as well as the competencies required to support the engineer's global development from a sustainable engineering perspective. This vision captures the essence of the engineer's future role, focusing on collaborative efforts to define and implement an updated engineer profile, integrate it into educational pathways, and streamline accreditation processes. This vision aligns with a transformative epistemology and UNESCO's sustainable development goals, offering a blueprint for institutions to mobilize their ecosystem towards common goals."
"Who's Experiencing Weathering? A question of belonging in the engineering profession","Dimpho Radebe; Cindy Rottmann; Andrea Chan; Emily Macdonald-Roach; Emily Moore","Despite persistent efforts to diversify the engineering profession, inequities persist. As part of a larger research project on career paths, the authors conducted a large-scale survey of Canadian engineers with a minimum of 10 years’ experience in professional practice. This line of analysis explores Canadian engineers’ personal sense of belonging in the engineering profession. Results indicate that while 58.1% of survey respondents had a high sense of belonging, racialized women and white women disproportionately rated a lower sense of belonging, despite increases in representation. Further investigation reveals that for racialized women continued low visibility, discrimination, barriers to licensing, and views on what counts as engineering work were some of the reasons for a lower sense of belonging. This mixed-methods research reveals the hidden curriculum – institutional mechanisms – within the profession that contributes to weathering in the profession and highlights the importance of using an intersectional lens when looking at belonging."
"Broken Telephone: The long and Winding Road from Encoding to Decoding in Mixed Methods Research","Cindy Rottmann; Emily Moore; Andrea Chan","It is not uncommon for engineering education researchers who value quantitative analyses to conduct large-scale surveys as validation measures for smaller scale qualitative studies. The purpose of this paper is to examine a limitation of this logic. We adopt Stuart Hall’s encoding/decoding model of communication as a conceptual framework to investigate the mismatch between five engineering career paths we identified through a small, qualitative study and 982 Canadian engineering graduates’ self-identification with those paths on a larger scale national survey. By examining the differences between our encoding of survey items and respondents' self-identified decoding of those items, our paper makes two significant contributions to the engineering education literature, one methodological and one structural. First, our findings raise methodological questions about the widespread use of large-scale surveys as validation measures for small-scale qualitative studies, and second, our critical analysis illustrates internal heterogeneity within senior executive career tracks, enabling us to supplement existing explanations for occupational inequity in the profession."
"Sociotechnical Thinking as a Contextualizing, Transcending, and Cross-Connecting Concept for Engineering Learning","Richard Aleong; Tarek Alkabbani","The complexities of contemporary engineering problems and solutions require deep attention to multiple social and technical aspects pertaining to the situation. Sociotechnical thinking in engineering offers a way to navigate these social and technical complexities that inform the way we inquire and design. While sociotechnical thinking as it relates to engineering education has been explored in various ways, sociotechnical thinking remains an abstract concept with multiple meanings and interpretations. Educators and researchers must think critically about dominant conceptualizations to appreciate how these meanings inform teaching, learning, and practice. In this paper, we describe sociotechnical thinking as a contextualizing, transcending, and cross-connecting concept for engineering learning. First, we present three assumptions that may be limiting current approaches to sociotechnical thinking. Then, we illustrate three different shifts in framing sociotechnical thinking to contribute to an integrated understanding of sociotechnical thinking as it relates to curriculum and pedagogical design. With these shifts, we aim to add meaning and richness that expands pedagogical opportunities for sociotechnical thinking in engineering curriculum, learning and practice."
"Visualizing Engineering: A Practitioner’s Perspective on Engineering Education","Shehryar Saharan; Gaël McGill; Jodie Jenkinson; Michele Oliver; Karen Gordon","Visualizations are integral to the fields of science and engineering, serving as essential tools for both education and professional practice. They encompass a diverse range of modalities, from illustrations to simulations, and play vital roles in facilitating conceptual understanding, scientific discovery, and communication. In engineering education, visual representations are fundamental to problem-solving approaches, requiring learners to navigate complex information through graphical, conceptual, and mathematical components. This paper delves into the role of visualizations as didactic external representations – emphasizing the importance of design choices informed by both empirical evidence and craft-based knowledge. We discuss the gap between visualization research and practice, and showcase visualization stimuli across various scientific subject matter, exemplifying the diverse applications and pedagogical potential of visualizations for engineering education. We also outline key research challenges and opportunities, advocating for partnership between visualization practitioners, researchers and educators to address these challenges."
"Answering Questions of Engineering Identity and Topic Relevance Using the Work of Robert Rosen","Jason Foster; Patricia Sheridan","Some engineering students ask their instructors questions related to the nature of engineering and to the relevance of certain course topics or full courses. Responses to these questions are generally experiential, empirical, and lacking in theoretical rigour. This research paper explores how Robert Rosen’s Modelling Relation and his concept of Anticipatory Systems can be used to understand the nature of engineering in a way that is rigorous, theoretically grounded, and accessible to varied audiences. Abstract engineering and making practices are successfully mapped onto the Modelling Relation, and a concrete example from Civil Engineering is developed. Following from this mapping, engineering is reinterpreted as the actions of an anticipatory system informed by particular predictive models. This mapping and reinterpretation were trialed successfully in an undergraduate engineering design course, and in workshops with participants from a variety of engineering and non-engineering backgrounds. Areas for improvement and exploration include the fractal natural of design, and the challenges associated with complex systems."
"Learning from Learners: Wellness seminars and self-reflections for first-year engineering students to enhance their journey in engineering education","Mandeep Pandey; Robyn Paul; Kim Johnston; Afsah Dawood; Catherine Betancourt-Lee; Kenza Filali; Tausif Tajwar; Brittany Lindsay; Melissa Boyce","First-year engineering can be an overwhelming experience for students, and it is important to have regular check-in points for students as they transition to post-secondary education. Beginning in 2019, the Schulich School of Engineering (SSE) at the University of Calgary implemented mental wellness and engineering attributes modules across the first-year engineering curriculum. These modules focused on students’ overall development to support their success in the diverse world of engineering. In this paper, we give an overview of the program implementation during 2021-2022 and recommendations for effective implementation of such series based on our experiences. We also briefly present a summary of the students’ self-reflections from the first two years of the program.
At the end of each module, we ask students a few open-ended questions to reflect on their experiences based on the materials covered in the module. In addition to these responses from different modules, the final self-reflection, where the students are asked to reflect on their journey as a first-year engineering student, is of immense help in enhancing our understanding of students’ perspectives. Analysis and review of these reflections help mold our strategies for future programming to support student wellbeing and academic and professional development."
"The History of the CEAB Accreditation Criteria and Procedures – Criterion 3.4.5 Complementary Studies","Jason Foster","In Canada, most undergraduate engineering programs are accredited by the Canadian Engineering Accreditation Board (CEAB). Operating since 1965, the Board has developed and accredited against an evolving set of criteria. The accreditation criteria specify that those being accredited may explore alternative interpretations and means of meeting the criteria. However there is little information available to guide such interpretation and design such means. This research summarizes and explores the evolution of the accreditation criteria for those aspects related to “complementary studies” comprising communication, teamwork, ethics, economics, and related topics."
"ANALYSIS OF HOW CAPSTONE TEAMS DEFINE ENGINEERING DESIGN FAILURE","Farrah  Fayyaz","There is a growing trend in engineering education to increase the societal awareness among theengineering graduates, so that the engineering solutions proposed by the engineers are more sustainable. To achieve this, one of the efforts in Concordia University is to ask capstone students to discuss and implement (wherever possible) ethical, legal, social, environmental, and entrepreneurial aspects of their capstone design. Students are given two lectures during the capstone year which provides them with prompts to identify and think beyond their personal biases and perceptions of the society. At the end of the term, each capstone team is asked to define engineering failure. The aim for this is for graduating students to have a well thought of idea of the engineering design failure before they enter the workplace. This article explains the two phases (lectures) of the capstone lectures related to the ethical, legal, societal, environmental, and entrepreneurial aspects of an engineering design. Additionally, the article aims to analyze the definitions of engineering failure submitted by the engineering students at the end of the capstone year to identify keywords and terms that the graduating engineering students attribute to success and failure of an engineering design. The objective of the paper is to open the discussion among engineering educators for incorporating ideas in their courses that can improve engineering students’ understanding of a sustainable design and assess the success of these strategies."
"Bridging the Skillset Gaps in University-Based Incubators","Amin Azad; Emily Moore","Entrepreneurship is a driving force in today's rapidly evolving economy, offering avenues for innovation, economic growth, and societal impact. However, engineering entrepreneurial teams often encounter skill gaps that can impede their ability to navigate the complexities of starting and growing a business effectively. Addressing these skillset gaps is crucial for empowering the next generation of entrepreneurs to thrive in an increasingly competitive landscape. University-based incubators (UBIs) play a significant role in this endeavor, providing a supportive ecosystem for entrepreneurial development within academic institutions. This paper aims to explore the skillset gaps in UBIs affiliated with engineering departments, through a systemic literature review on this topic, complemented by a series of one-to-one interviews with directors, mentors, and investors at various UBIs. The results of this study align with existing literature and highlight a recurring theme regarding the difficulties faced by engineering entrepreneurial teams in areas such as soft skills, as well as challenges related to financial literacy, research proficiency, and sales capabilities. This work aims to delve into specific areas in greater depth and discusses potential pedagogical approaches that could enhance the learnings of these skills with no direct relation to concepts of entrepreneurship."
"Exploration of Skills Needed for Graduate-Level Community Engaged Learning in Engineering","Akinola Ogbeyemi; Wenjun Zhang; Lori Bradford","Community-engaged learning in graduate engineering programs has had growing attention in engineering education research to prepare researchers for supporting communities in solving complex problems. As a practice, community-engaged learning in engineering struggles to achieve equitable outcomes for community partners because students in such programs may lack skills or possess charity or patriarchal mindsets. A charity mindset is characterized by an uncritical desire to help, with Western engineering deemed favourable over community knowledge systems resulting in the design of solutions that try to address symptoms of inequity without meaningful community involvement. With the increase of community-driven and engaged learning in engineering graduate studies, pushed by research agencies and the marketing of large-scaled international grand challenges, the development of engagement skills in graduation education is needed. In this paper, we highlight the specific successes and challenges faced by one graduate student and their supervisors undertaking community-engaged learning. We explore these issues while embedded in a project with three Indigenous communities on improving resilience in an engineering procurement and construction (EPC) process for healthcare facilities in Indigenous communities by incorporating cultural and social factors. We bring forward these successes and challenges to build a conversation around designing curricula for engineering-engaged learning skills for graduate students."
"An Exploration in Facilitating Learning Experiences Towards Inspiring Responsible Software Engineers","Tim Maciag","Johnson poses the question, “what does it mean to be a responsible engineer?” Characteristics could be wide-ranging. Engineers Canada helps by defining graduate attributes (GAs). All GAs are important. However, GA-9 “impact(s) of engineering on society and the environment” is one characteristic that this author proposes is fundamental. The idea of sustainable design and development has seen increasing conversation and engagement in our field in recent years. With initiatives such as the United Nations (UN) “decade of action (DoA),” engineers have the innate responsibility to help deliver the promise of positively transforming our world by 2030 and beyond. Exposing engineering learners to individual and collaborative knowledge-building experiences around the idea of sustainability, and what it means to be sustainable citizens may assist. It could be as we engineers become more knowledgeable in this realm, so too might everyday citizens in their interactions with our creations. Reflecting on Quan-Haase’s idea of technology as society, relating to the idea that society advancements are in large part intertwined with advancements in technology, software engineers may have a significant role to play. This role could include the engineering of community-based computer technologies that engage citizens in knowledge-creating activities towards the betterment and well-being of society. This work explores the following questions.&nbsp;Can inspiration towards becoming a responsible engineer be instilled in engineering learners in academia? Can this be accomplished by facilitating a learning experience that immerses engineering learners in researching and exploring the design and development of computer technologies in support of the UN Sustainable Development Goals (SDGs)? Through resulting explorations, might both learners and everyday citizens who interact with the engineered creations be better equipped to participate in the UNs DoA, and beyond? This paper will describe a software systems engineering course at the University of Regina that facilitated a learning experience around these questions. A discussion regarding the structure of the course, its educational content, and results and feedback obtained on the learner experience will be provided. As well, ideas for continued exploration of this work will be discussed."
"Rethinking the ""Impact of Engineering on Society and the Environment""","Kari Zacharias; Stephanie Hladik","The current CEAB attributes, including “the impact of engineering on society and the environment,” represent a welcome shift in engineering education towards acknowledging the sociotechnical nature of engineering practice. The “impact” attribute in particular also demonstrates a need and an opportunity for engineering educators and scholars with interdisciplinary backgrounds to meaningfully contribute to engineering education. In this paper, we offer reflections on and constructive criticism of the “impact” graduate attribute, drawing from our personal experiences as learners and teachers, and from literature in Science and Technology Studies, Engineering Studies, and the Learning Sciences. We develop three related critiques of the current graduate attribute, focusing on its presentation of relationships, directionality, and power. While the inclusion of the “impact” attribute represents a significant step for Canadian engineering towards a more just, sustainable, and decolonial vision for the future of the profession, we argue that the current attribute also reinforces dominant engineering ways of thinking about engineering-society relationships. We conclude the paper by offering a reworked version of the graduate attribute as a provocation and a starting point for discussion."
"Instilling SDG Considerations in Undergraduate Design Capstone","Tate Cao","Engineering education in universities often focuses on theoretical problems, with limited opportunities for students to consider the societal and environmental impact of their designs. Senior engineering design capstones typically involve industry partners providing the problem and context, further restricting students' ability to explore implications. Despite being aware of the United Nations Sustainable Development Goals (SDGs), students prioritize personal over professional implications. This study aims to incorporate SDGs into the Engineering Capstone experience by introducing them in a senior student-driven, multidisciplinary Engineering Capstone Design class. Students receive empathy training and use Canadian indicators of UN SDGs to align their designs with positive and negative indicators. They engage with users for feedback on the impact of their choices on SDGs, bridging the ""blind spot"" in their design work and enhancing understanding of the broader context of their designs. Incorporating empathy training and a co-design approach can improve students' understanding of the potential impact of their designs on SDGs."
"GENDERED PATTERNS IN SENIOR ENGINEERS’ LEADERSHIP LEARNING ","Emily  Macdonald-Roach; Cindy Rottmann; Andrea Chan ; Emily Moore","In this paper, we present findings from a secondary gender analysis of interviews conducted for a larger study examining how senior engineers learn to lead over the course of their careers [7, 36-37]. In particular, we analyze a subset of career history interviews conducted for the larger study—four male and four female participants paired by career stage and organizational context—through a gendered lens. In the end, we identified 4 themes that differentiated the experiences of male and female engineers in our sample: 1) Explicit mentions of gender, 2) Mobility, 3) Enacting leadership, and 4) Response to failure. With an understanding that gender can impact experiences implicitly and in ways that are highly contextualized, we explore subtle gender dynamics in engineers’ situated leadership learning opportunities and experiences."
"AN ADAPTED ENGINEERING DESIGN PROCESS: GUIDING TOUCHSTONES","Chelsea  Dubiel; Jillian  Seniuk Cicek; Roxanne  Greene; Shawn  Bailey; Farhoud  Delijani","The field of engineering needs to develop while healing our relations with the lands, waters, and living systems. Fostering ethical spaces where Indigenous ways of knowing and being and western worldviews can hold space together, and cease to separate the technical from the social, are key to progressing equitably as a society. In the field of engineering within Turtle Island, it is essential that we adapt the engineering design process to reflect this. Following the execution of an Engineering and Architecture transdisciplinary Design Build course at University of Manitoba, and in partnership with the Shoal Lake No. 40 First Nation, it was acknowledged by stakeholders that further analysis of this project could establish lessons learned. This paper speaks to engineering education practice. The objective of this research is to develop recommendations for how the engineering design process can make space for Indigenous ways of knowing and being. Shoal Lake No. 40 community members, one engineering contractor, and four university faculty members were asked their perspectives on the development and implementation of two projects conducted with the community members and on the First Nation lands. Through the co-analysis of these open-ended discussions, recommendations were developed for how the engineering design process can integrate four touchstones external to the design process. The touchstones enable an engineer to perceive the design process and establish core intentions for a project that creates space for Indigenous values and principles and western worldviews."
"Adapting waterfall design to an eight-month capstone course","Franz Newland; Hossam Sadek; James Andrew Smith","York University’s multi-disciplinary capstone design class was established “to include significant elements of design and implementation” in such as manner as to “resemble engineering projects in practice.” The class was restructured in summer 2016 to coincide with the introduction of fourth-year cohorts in both the Electrical and Mechanical programs. The changes were designed to more closely emulate an industry-standard approach. Choosing an industrially-accepted design methodology would provide a good framework for the project design and implementation and would be motivational to the students as they transitioned from university to professional life. In parallel, the course directors used a narrative structure, the Hero’s journey, to help students identify their pathways through capstone and to tell their capstone stories after the experience.We adapted the gating reviews for the Waterfall model often used in large government contracts. At the start of the project, students are provided a governing document (similar to a contract). Gate reviews are held at preliminary and critical design stages, test readiness and post-test review and final delivery. Every deliverable requires team reflection, similar to bidder self-evaluations on government contracts. The project concludes with an open house, similar to a product release, for students to present their projects and processes to stakeholders and the general public.This paper presents the results of the first two years of the newly revised capstone, using the Hero’s Journey metaphor and the waterfall model."
"Engineering educators’ perceptions of the influence of professional/industry experience on their teaching practice","Angela van Barneveld; Johannes Strobel","&nbsp;Abstract –This preliminary study explored engineering educators’ perceptions of the influence of industry experience on their teaching practice. Fifty American engineering educators were interviewed. There appeared to be a distinction in the extent to which influence on practice was reported, based on years of industry experience. Three themes emerged – influence on content and curriculum, influence on instructional strategies and the integration of real world components, and benefits of being a practitioner/educator. Implications and future research are discussed."
"Fostering Inclusive Learning in Engineering through Equity-Based Design Education","Andrea Hemmerich; Negar Deilami; Thuy-Anh Ngo; Sean Park; Robert Fleisig","The integration of equity, diversity, inclusion, and accessibility (EDIA) in engineering education is often overshadowed by traditional engineering ideologies that prioritize technical work and objectivity. Our research aimed to understand how learning equity-based design affected students' perceptions of inclusivity in their learning environment and the quality of their design work. The Design Thinking curriculum was enhanced to integrate EDIA principles and the Liberatory Design framework. We hypothesized that these design courses would positively impact students' equity-based design competencies and sense of belonging in engineering. Data were collected via post-course surveys and reflection assignments. Survey results from six participants indicated positive impacts on students' perceptions of inclusivity and agency for social change. Thematic analysis of reflection assignments revealed a link between self-awareness, inclusive design, and empowerment to challenge societal norms. Despite the study's exploratory nature and small sample size, findings suggested that engaging in equity-based design approaches fostered inclusive learning in engineering education."
"A Holistic Approach to ‘Sustainable Systems Design’ Course Development","Poornima Jayasinghe; Robyn Paul","The new Sustainable Systems Engineering program at the University of Calgary aims to disrupt sustainability education by imbedding a systems approach and regenerative design mindset throughout. This paper provides an overview of the first iteration of the second-year design course, SUSE 300, Introduction to Sustainable Systems. Underlying the course is the idea of transformative learning through systems thinking and design-based approach. Through their design project, personal reflections, and design portfolio, both students and instructors went through transformative learning experiences. In this paper, early reflections from the two co-instructors are provided on creating these ambitious learning experiences, and areas for improvement in the next iteration."
"Opportunities and Obstacles for an Embedded STS Program in Engineering","Alexi Orchard","The “Embedded STS Program” is a model for teaching the ethics of engineering and technology via instructors from a Science and Technology Studies (STS) program housed directly within an Engineering department. Our institution, the University of Waterloo, has an embedded STS-like program under another name, the Centre for Society, Technology, and Values (CSTV). In this paper, we share the results of a qualitative survey completed by 43 students recruited from seven of the CSTV courses offered in 2022. These results provide context as to obstacles and opportunities in the embedded program related to curricular, institutional, and cultural dimensions. We conclude there is a need for resources and leadership to manage the curricular and cultural obstacles that hinder (1) students in applying knowledge on ethics and social impacts across educational and professional contexts and (2) institutions in drawing upon STS expertise for teaching engineering and technology ethics."
"REFLECTING ON THE USE OF DESIGN METHODOLOGY IN ENGINEERING DESIGN EDUCATION","S.  Li; G. Gress; P. Ziadé","In the teaching of engineering design, it may be common to use design methodology (DM), as documented in several textbooks, in the course delivery.&nbsp; However, considerable drawbacks could be observed in our case when DM is taken as the major guidance for a capstone design course. We argue that DM tends to prescribe some context-free methods and procedures, which cannot be easily applied by students to their capstone design projects. At the same time, we observe that students need support to characterize a design problem, integrate technical knowledge in design activities and verify design ideas. These aspects require analytical and critical thinking, where DM may not be particularly helpful for students. In the five-year journey of deemphasizing DM in a capstone design course, we have explored and examined various pedagogical approaches such as online modules, design labs and peer evaluations.&nbsp; Without the teaching of DM, the pedagogical strategy needs to be carefully planned to deliver specific learning in engineering design.
&nbsp;"
"RATIONALE AND TEACHING OBJECTIVES FOR A CANADIAN ENGINEERING ETHICS GAME","Andrew Roncin","This paper uses Tyler’s rationale as a framework for analyzing the teaching objectives surrounding the design of a video game to teach Canadian engineering ethics.The two keys challenges in this area are defining what should be taught in engineering ethics and then how it is evaluated in order to demonstrate improved understanding. Traditionally, engineering ethics courses are taught as either codes of conduct, or based on case studies with very constrained courses. The evaluation that follows then uses the Defining Issues Test (DIT) or an instructor’s evaluation.However, the above methods could be improved by focusing on engineering ethics as a situated, embedded, and applied discipline. That is, one in which decisions are made as part of a team, embedded in a workplace whose goals will likely be in conflict with the engineers, and whose outcomes are unknown at the time decisions are made.By using a serious game in which the players are protagonists affords us the opportunity to present thick cases with multiple decision points and opportunities for players to demonstrate their ethical bias. Additionally, the progress of players and their interactions with non-playing characters can reveal information on their assumptions and ethical bias."
"Undergraduate Mentors’ Perspectives on Equity-Oriented STEM Outreach","Callum Sutherland; Aida Mohammadi; Jeffrey Harris","This paper explores undergraduate mentors’ perspectives on, and participation in, “Bringing STEM to Life: Work Integrated Learning in Physics” (BSTL), a work-integrated, equity-oriented STEM outreach program administered by the kindergarten to industry (k2i) academy at York University’s Lassonde School of Engineering. To that end, this study brings Feminist Science and Technology Studies and critical pedagogy to bear on a three-phase methodological approach to generating and analyzing qualitative data pertaining to the mentorship component of BSTL. Preliminary findings suggest that (1) undergraduate mentors bring complex STEM motivations, shaped by intersecting marginalized identities, to bear on their mentorship duties; (2) mentors possess nuanced yet occasionally contradictory understandings of STEM, equity, and society; and (3) mentors’ experiences in the BSTL program are variable but positive. These findings suggest that outreach programs can expand their capacity to generate equitable outcomes by actively supporting the creation of STEM counterspaces, foregrounding equity training, and exposing mentors to critical theoretical perspectives on STEM, equity, and society."
"Re-Engineering the Culture: Perspectives of the Feminine-Identifying and Queer Engineering Student","Matthew McDougall; Marie Charbonneau","The inclusion of queer and feminine-identifying students in science, technology, engineering, and mathematics (STEM) is an issue which expresses ample discussion, yet little action. Students belonging to these groups face barriers relating to identity of group and self, peer exclusion and intolerance, and trivialization of their work. This paper reviews the literature of 21st century United States and Canada on this topic, expanding into closely related topics, including underrepresentation, cultural cis-heteronormativity, essentialism, and marginalization. It reveals the firsthand experiences of students affected by the cultures of their engineering faculties, as well as their attempts to either persevere through the repression of identity or remain sidelined by their environment. This narrative literature review provides solutions based on research, including EDI curriculum implementation, supportive student clubs, queered survey methods and moderated language. These solutions offer direction for future research efforts and provide methods on scales small or large to improve inclusion in engineering education."
"Preparing Tomorrow’s Engineer-Communicators: A Review of Models for Effective Communication Instruction","Meghan  Marshall; Lydia  Wilkinson; Viviane  Yargeau; Maria  Orjuela-Laverde; Myra  Bloom; Brandiff  Caron; Louise  Meunier; Greg  Zilberbrant; Paul  Okrutny; Jonathan  Verrett; Michael Schoen; Estella  Qi; Tatiana  Teslenko; Kelly  Miller; Hassan  Golpour","This paper offers a landscape analysis of communication instruction within six Canadian and two American Engineering faculties by bringing together approaches and perspectives from communication instructors at these institutes. Each instructor shares a summary of their institution’s approach to communication instruction, before discussing a course-level initiative. Similarities between these approaches at a course and institutional level are summarized and discussed.
&nbsp;"
"WHO IS RESPONSIBLE FOR HUMAN FACTORS IN ENGINEERING DESIGN? THE CASE OF THE VOLVO POWERTRAIN","W. P. Neumann; J. Winkel","A case study in Volvo Powertrain is conducted to examine the distribution of responsibility for human factors in the companies&rsquo; engineering design process. Design decisions with human factors impact, and hence system performance implications, are identified in the design of both the product and the production system in a chain of decisions, spread across multiple stakeholder groups. Thus the organisational structure of the engineering design process appears to influence the ability to handle human factors appropriately at each stage of design. Responsibility (although perhaps not accountability) appears to be distributed throughout the engineering design process. Thus human factors aspects require careful coordination throughout engineering design."
"THE ENGINEERING DESIGN PROCESS - DIAGNOSING THE PROBLEM: “TAKE TIME TO DEFINE” WITH CONTEXTUAL INQUIRY","Scott A.C.  Flemming; Clifton R.  Johnston","In previous work [1] it was argued that turning attention from the act of problem solving to the act of problem defining has several benefits for engineering students and practitioners alike. Such benefits include developing and refining student’s empathy and critical thinking skills inside the engineering discipline. The practical question then becomes how to teach and practice the process of defining the problem well. The following paper is a literature review of the current state of problem definition within engineering design research and how problem diagnosis can be taught and practiced by engineers. Two significant insights emerge from this review: (1) traditional engineering design literature does not suggest processes for defining problems; and (2) the authors consider ""Contextual Inquiry"" the most promising tool for problem diagnosis from an Industrial Engineering perspective."
"TEN YEARS OF ENHANCING ENGINEERING EDUCATION WITH CASE STUDIES: INSIGHTS, LESSONS AND RESULTS FROM A DESIGN CHAIR","Steve Lambert; Cheryl Newton; David Effa","Improving student learning and increasing connections between theory and engineering practice captures the main goals of Waterloo Cases in Design Engineering (WCDE). WCDE is a group at the University of Waterloo (Waterloo) that was established in 2005 as a part of the NSERC Chairs in Design Engineering program. WCDE works with instructors, industry and students to bring real life complexities to the classroom by using authentic case studies. Over the last ten years, more than 175 case studies have been developed and implemented in more than 100 courses with over 125 instructors, across all engineering disciplines. WCDE has collaborated with more than 140 industry, government, non-profit, and academic case partners for the development and implementation of case material.Surveys are used to gauge students’ receptivity to case implementations and for continuous improvement. Student feedback from WCDE case implementations are presented and discussed. The benefits and challenges of case study teaching are discussed, along with reflections on the next steps towards extensive use of engineering cases in education."
"EXPLORING STUDENTS’ DEFINITIONS OF SUCCESS: A REVIEW OF THE LITERATURE","Max  Ullrich; David S.  Strong","The term “success” has many different meanings for students and stakeholders in the academic environment [1]. The most common measure of student success employed by researchers and institutions is performance-based measures such as grades and graduation rates. The remainder of the definitions are inconsistent among the various stakeholders in the academic environment. Understanding the importance of the criteria used by students to define their success in Canadian undergraduate engineering programs, as well as the degree to which students are motivated to engage in each criterion with a mastery-based approach, could be useful for reconciling the differences between the student group and the other stakeholders in the academic environment and assist in designing teaching strategies that align with these criteria and thus promote a masterybased view of success.
This paper summarizes three achievement motivation frameworks and contributes a synthesis of the literature regarding student and other stakeholder definitions of student success to identify opportunities and methodologies in preparation for a research study on this topic as it applies to success in the context of Canadian undergraduate engineering students.
&nbsp;"
"CULTIVATING COMMUNITIES OF PRACTICE ON A NATIONAL SCALE TO SUPPORT THE SHIFT TO REMOTE EDUCATION","Stephen  Mattucci; Elizabeth  DaMaren; Cori Hanson; Rubaina Khan; Renato Alan Bezerra Rodrigues","Educational innovations and just-in-time supports spread more quickly through social networks thanthrough traditional dissemination avenues. Therefore, in coordinating national level support efforts for the shift to online and remote learning during the COVID-19 pandemic, one of the principal strategies of theEngineering Collaboration for Online and Remote Education (E-CORE/CIEL) Project was to developnational Communities of Practice (CoPs) to foster connections between instructors. Using an autoethnographic process, this reflective paper aims to synthesize the learnings from the team working to cultivate these CoPs. The analysis of the reflections provides insight on: the needs of the Canadian community of engineering educators during a year of remote education, the perceivedbenefits of engaging in CoPs, considerations for cultivating CoPs in different contexts, andrecommendations for future cross-institutional CoP efforts."
"Understanding Engineers’ Ethical Environmental Responsibility","Emma Jane Randall; David Strong","Engineers Canada states that engineers must, “Hold paramount the safety, health and welfare of the public and the protection of the environment and promote health and safety within the workplace” [1]. This is frequently the only guideline directly related to the environment included in Canadian provincial and territorial Professional Engineering Codes of Ethics (PECoE) which are a primary resource for teaching engineering ethics [1]; notably, Ontario’s PECoE currently does not explicitly mention the environment [2]. Minimal formal ethical guidelines indicate interpretations of engineers’ professional responsibility with respect to the environment may vary in both industry and engineering education. With the growing focus on sustainable development alongside escalating environmental crises, a thorough investigation of engineers’ professional ethical responsibility to the environment is time-sensitive and necessary [3]. The purpose of this study is to improve understanding of how engineers and engineering students view and interpret their professional ethical responsibility to the environment and PECoE in a Canadian context. The ultimate goal of this research will be to aid the development of engineering ethics and sustainability curricula, as well as Professional Engineering Codes of Ethics. A key result from preliminary findings, is that participants feel there may be a need to explicitly include more guidelines on the environment in the Ontario PECoE."
"IMPACT OF INTEGRATING MENTAL WELLNESS AND PERSONAL LEARNING REFLECTIONS INTO FIRST-YEAR UNDERGRADUATE ENGINEERING COURSES","Robyn  Paul; Oluwasemilore  Adeyinka; Melissa  Boyce; Ghada  Eldib; Katie  Gaulin; Kim  Johnston; Lauren  Kelba; Brittany  Lindsay; Rigel  Tormon","Student stress and anxiety in engineering continues to be overwhelming, and students are asking for more support for their mental wellness. At the University of Calgary, we developed and implemented a program to provide first-year students with regular modules and reflection on their mental wellness and personal learning. This work is important to foster resiliency in engineeringstudents. At CEEA 2020, we summarized the pilot year of\ the program [17], and we now have an update on the program implementation as well as preliminary research results. We provide an overview of the importance of this kind of programming, specifically in breaking down theemotional-rational dualism that exists within engineering to support the de-stigmatization of mental health topics. We then provide an overview of the modules presented in this academic year, as well as a high level of summary of the research results from last year’s data."
